stim1,stim2,RT,correct,condition,Association,TaskType
octagon,,484,1,single,neutral,RG_congruent
triangle,diamond,518,1,pair,youhappy,RG_congruent
rhomboid,octagon,536,1,pair,friendneutral,RG_congruent
diamond,,661,1,single,you,RG_congruent
octagon,,422,1,single,neutral,RG_congruent
octagon,,315,0,single,neutral,RG_congruent
triangle,,389,1,single,happy,RG_congruent
octagon,,417,1,single,neutral,RG_congruent
octagon,rhomboid,519,1,pair,friendneutral,RG_congruent
octagon,,418,1,single,neutral,RG_congruent
diamond,,447,1,single,you,RG_congruent
triangle,,508,0,single,happy,RG_congruent
rhomboid,,489,1,single,friend,RG_congruent
diamond,triangle,547,0,pair,youhappy,RG_congruent
octagon,,566,1,single,neutral,RG_congruent
octagon,,578,1,single,neutral,RG_congruent
octagon,rhomboid,509,0,pair,friendneutral,RG_congruent
triangle,diamond,782,1,pair,youhappy,RG_congruent
diamond,triangle,502,1,pair,youhappy,RG_congruent
rhomboid,octagon,459,1,pair,friendneutral,RG_congruent
rhomboid,,517,1,single,friend,RG_congruent
diamond,,506,1,single,you,RG_congruent
rhomboid,,305,1,single,friend,RG_congruent
octagon,rhomboid,515,1,pair,friendneutral,RG_congruent
diamond,,374,1,single,you,RG_congruent
octagon,rhomboid,516,1,pair,friendneutral,RG_congruent
triangle,,544,1,single,happy,RG_congruent
rhomboid,,433,1,single,friend,RG_congruent
rhomboid,,464,1,single,friend,RG_congruent
diamond,,354,1,single,you,RG_congruent
rhomboid,octagon,697,1,pair,friendneutral,RG_congruent
octagon,,504,1,single,neutral,RG_congruent
diamond,,489,0,single,you,RG_congruent
rhomboid,octagon,517,1,pair,friendneutral,RG_congruent
diamond,triangle,449,1,pair,youhappy,RG_congruent
triangle,,575,1,single,happy,RG_congruent
diamond,,448,1,single,you,RG_congruent
rhomboid,octagon,383,1,pair,friendneutral,RG_congruent
rhomboid,,459,1,single,friend,RG_congruent
triangle,,560,1,single,happy,RG_congruent
rhomboid,,551,1,single,friend,RG_congruent
rhomboid,,511,1,single,friend,RG_congruent
rhomboid,,479,1,single,friend,RG_congruent
triangle,diamond,470,1,pair,youhappy,RG_congruent
octagon,rhomboid,483,1,pair,friendneutral,RG_congruent
diamond,,443,1,single,you,RG_congruent
triangle,,517,1,single,happy,RG_congruent
triangle,,473,1,single,happy,RG_congruent
triangle,,583,1,single,happy,RG_congruent
diamond,,606,1,single,you,RG_congruent
triangle,diamond,516,1,pair,youhappy,RG_congruent
triangle,,608,0,single,happy,RG_congruent
octagon,,459,1,single,neutral,RG_congruent
triangle,diamond,449,1,pair,youhappy,RG_congruent
diamond,triangle,612,1,pair,youhappy,RG_congruent
diamond,triangle,378,1,pair,youhappy,RG_congruent
square,,567,1,single,friend,RG_incongruent
square,trapeze,637,1,pair,friendhappy,RG_incongruent
kite,pentagon,466,1,pair,youneutral,RG_incongruent
pentagon,,751,1,single,neutral,RG_incongruent
pentagon,,469,1,single,neutral,RG_incongruent
trapeze,,744,1,single,happy,RG_incongruent
trapeze,,553,1,single,happy,RG_incongruent
pentagon,,835,1,single,neutral,RG_incongruent
trapeze,,562,1,single,happy,RG_incongruent
square,,565,1,single,friend,RG_incongruent
trapeze,,535,1,single,happy,RG_incongruent
pentagon,,505,1,single,neutral,RG_incongruent
square,,462,1,single,friend,RG_incongruent
trapeze,square,566,1,pair,friendhappy,RG_incongruent
pentagon,,409,1,single,neutral,RG_incongruent
kite,,390,1,single,you,RG_incongruent
trapeze,,463,1,single,happy,RG_incongruent
pentagon,,505,1,single,neutral,RG_incongruent
pentagon,,678,1,single,neutral,RG_incongruent
kite,pentagon,569,1,pair,youneutral,RG_incongruent
trapeze,,586,1,single,happy,RG_incongruent
kite,,625,1,single,you,RG_incongruent
square,,520,1,single,friend,RG_incongruent
pentagon,,498,1,single,neutral,RG_incongruent
trapeze,square,595,1,pair,friendhappy,RG_incongruent
kite,,610,1,single,you,RG_incongruent
kite,pentagon,496,1,pair,youneutral,RG_incongruent
square,trapeze,655,1,pair,friendhappy,RG_incongruent
kite,,579,1,single,you,RG_incongruent
square,trapeze,663,1,pair,friendhappy,RG_incongruent
kite,,611,1,single,you,RG_incongruent
square,,589,1,single,friend,RG_incongruent
pentagon,kite,542,1,pair,youneutral,RG_incongruent
square,,567,1,single,friend,RG_incongruent
kite,,424,1,single,you,RG_incongruent
square,,431,1,single,friend,RG_incongruent
kite,,503,1,single,you,RG_incongruent
square,,387,1,single,friend,RG_incongruent
trapeze,square,579,1,pair,friendhappy,RG_incongruent
trapeze,,1073,1,single,happy,RG_incongruent
trapeze,,448,1,single,happy,RG_incongruent
trapeze,square,528,1,pair,friendhappy,RG_incongruent
kite,,512,1,single,you,RG_incongruent
square,trapeze,543,1,pair,friendhappy,RG_incongruent
kite,pentagon,428,1,pair,youneutral,RG_incongruent
square,,465,1,single,friend,RG_incongruent
pentagon,kite,469,1,pair,youneutral,RG_incongruent
pentagon,kite,508,1,pair,youneutral,RG_incongruent
trapeze,,459,1,single,happy,RG_incongruent
square,,517,1,single,friend,RG_incongruent
kite,,478,1,single,you,RG_incongruent
pentagon,kite,498,1,pair,youneutral,RG_incongruent
pentagon,kite,507,1,pair,youneutral,RG_incongruent
square,trapeze,657,1,pair,friendhappy,RG_incongruent
pentagon,,525,1,single,neutral,RG_incongruent
trapeze,square,619,1,pair,friendhappy,RG_incongruent
pentagon,,540,1,single,neutral,RG_incongruent
kite,,495,1,single,you,RG_incongruent
trapeze,,426,1,single,happy,RG_incongruent
kite,pentagon,614,1,pair,youneutral,RG_incongruent
trapeze,square,1652,0,pair,friendhappy,RG_incongruent
pentagon,,484,1,single,neutral,RG_incongruent
trapeze,square,471,1,pair,friendhappy,RG_incongruent
kite,,611,1,single,you,RG_incongruent
pentagon,kite,484,1,pair,youneutral,RG_incongruent
kite,,442,1,single,you,RG_incongruent
square,,451,1,single,friend,RG_incongruent
kite,pentagon,558,1,pair,youneutral,RG_incongruent
trapeze,,479,1,single,happy,RG_incongruent
square,,467,1,single,friend,RG_incongruent
trapeze,,501,1,single,happy,RG_incongruent
pentagon,,603,1,single,neutral,RG_incongruent
square,trapeze,490,1,pair,friendhappy,RG_incongruent
square,,537,1,single,friend,RG_incongruent
square,,522,1,single,friend,RG_incongruent
kite,pentagon,437,1,pair,youneutral,RG_incongruent
kite,pentagon,428,1,pair,youneutral,RG_incongruent
trapeze,,534,1,single,happy,RG_incongruent
